code,name,latitude,longitude,,
7071,St-Mathieu / Sherbrooke,45.4957891,-73.58259559,,
6159,Ann / William,45.49589439,-73.56009722,,
6092,Crescent / Rene-Levesque,45.49606,-73.57348,,
6423,Hôpital general juif (de la Côte Ste-Catherine / Legare),45.496302,-73.629822,,
6098,Bishop / Ste-Catherine,45.49642,-73.57616,,
6316,Gatineau / Swail,45.49645715,-73.62015456,,
6100,Mackay / de Maisonneuve,45.49659,-73.57851,,
6315,Metro Côte-des-Neiges (Lacombe / de la Côte-des-Neiges),45.49685054,-73.62331957,,
7062,Nazareth / William,45.49702385,-73.55922265,,
6049,Queen / Wellington,45.49759505,-73.55523705,,
6057,Peel / avenue des Canadiens de Montreal,45.497697,-73.568646,,
6048,Queen / Ottawa,45.4979738,-73.55614096,,
6052,de la Commune / King,45.4980302,-73.55266482,,
6099,Crescent / de Maisonneuve,45.49815109,-73.57760936,,
6062,Drummond / Ste-Catherine,45.4986393,-73.57422709,,
6050,de la Commune / McGill,45.4986731,-73.55256289,,
6046,Metro Bonaventure (de la Gauchetière / Mansfield),45.49871,-73.56671,,
6058,Cypress / Peel,45.49932551,-73.57176751,,
6063,Drummond / de Maisonneuve,45.49947,-73.57591,,
6065,de la Montagne / Sherbrooke,45.4996771,-73.57884854,,
6038,McGill / Place d'Youville,45.49975,-73.55566,,
6125,Ellendale / de la Côte-des-Neiges,45.499757,-73.629298,,
6928,Jean-Brillant / McKenna,45.500035,-73.618105,,
7079,Gauvin / Notre-Dame,45.50004273,-73.56041238,,
6060,Mansfield / Rene-Levesque,45.50015,-73.56928,,
6005,Metcalfe / du Square Dorchester,45.50023355,-73.57112646,,
6064,Metro Peel (de Maisonneuve / Stanley),45.50038,-73.57507,,
6042,de la Gauchetière / Robert-Bourassa,45.50060578,-73.56544822,,
6041,St-Jacques / Gauvin,45.500674,-73.561082,,
6059,Metcalfe / Ste-Catherine,45.50068474,-73.57215643,,
6039,McGill / des Recollets,45.500779,-73.558826,,
7012,McKenna / Édouard-Montpetit,45.50119451,-73.62062529,,
6312,de Kent / de la Côte-des-Neiges,45.501302,-73.633161,,
6066,Mansfield / Ste-Catherine,45.5014018,-73.5718136,,
6072,Metcalfe / de Maisonneuve,45.50171495,-73.57413054,,
6061,Ste-Catherine / McGill College,45.50176,-73.57128,,
6037,St-Nicolas / Place d'Youville,45.50197438,-73.55515659,,
6043,Square Victoria,45.50206,-73.56295,,
6027,de Maisonneuve / Mansfield,45.5022921,-73.57325211,,
6053,Belmont / du Beaver Hall,45.502326,-73.565138,,
6738,Union / Rene-Levesque,45.50235036,-73.5665828,,
6359,Parc Plage,45.50260227,-73.52750301,,
6040,St-Jacques / St-Pierre,45.5027865,-73.5591343,,
6068,Mansfield / Sherbrooke,45.50297,-73.57505,,
6424,du President-Kennedy / McGill College,45.503063,-73.573986,,
6413,Cathcart / Union,45.5034501,-73.56840402,,
6067,de Maisonneuve / Robert-Bourassa,45.503475,-73.572103,,
6708,Place Jean-Paul Riopelle (Viger / de Bleury),45.50372674,-73.56170386,,
6745,Cathcart / Place Phillips,45.50380539,-73.56817871,,
6083,Square Phillips,45.50409489,-73.56869638,,
6036,de la Commune / St-Sulpice,45.50424246,-73.55346948,,
7080,President-Kennedy / Robert Bourassa,45.50440747,-73.57254267,,
7014,Édouard-Montpetit (Universite de Montreal),45.50450093,-73.61765206,,
6031,St-Antoine / St-François-Xavier,45.50454229,-73.55916381,,
6035,Viger / Jeanne Mance,45.50477727,-73.56118888,,
7069,Union / President-Kennedy,45.50499345,-73.57170314,,
6073,de Maisonneuve / Aylmer,45.50501,-73.57069,,
6081,St-Alexandre / Ste-Catherine,45.50537693,-73.5676195,,
6310,de Darlington / de la Côte-Ste-Catherine,45.50540325,-73.62116575,,
6240,Hudson / de Kent,45.505973,-73.629593,,
6032,Metro Place-d'Armes (Viger / St-Urbain),45.50623,-73.55976,,
7067,City Councillors / du President-Kennedy,45.50625103,-73.57139066,,
6502,Casino de Montreal,45.5063732,-73.52457672,,
6749,St-Jacques / St-Laurent,45.50642115,-73.55646551,,
6070,Milton / University,45.5064484,-73.57634872,,
7066,St-Urbain / de la Gauchetière,45.50707813,-73.56139541,,
6078,Metro Place-des-Arts (de Maisonneuve / de Bleury),45.50708,-73.56917,,
6025,Notre-Dame / St-Gabriel,45.50714392,-73.55511904,,
6927,Édouard-Montpetit / Stirling,45.50723,-73.615085,,
6026,de la Commune / Place Jacques-Cartier,45.50761009,-73.55183601,,
6047,University / Prince-Arthur,45.5076617,-73.57885992,,
6203,Hutchison / Sherbrooke,45.50781,-73.57208,,
6034,St-Urbain / Rene-Levesque,45.5079,-73.563112,,
6204,Milton / Durocher,45.5081439,-73.57477158,,
6075,University / des Pins,45.508356,-73.580498,,
7033,Aylmer / Prince-Arthur,45.50856687,-73.57769787,,
6004,Hôtel-de-Ville (du Champs-de-Mars / Gosford),45.50918811,-73.55457991,,
6001,Hôtel-de-Ville 2 (du Champs-de-Mars / Gosford),45.50932814,-73.55434656,,
6180,Place de la paix (Pl. du marche / St-Dominique),45.5096853,-73.56231675,,
6205,Milton / du Parc,45.50971,-73.57354,,
6079,Hutchison/ Prince-Arthur,45.509864,-73.576105,,
6366,Wilderton  / Van Horne,45.510042,-73.624835,,
6202,Ste-Famille / Sherbrooke,45.51007155,-73.57075229,,
6306,du Mont-Royal / Vincent-d'Indy,45.510086,-73.611429,,
6206,Prince-Arthur / du Parc,45.51059,-73.57547,,
6012,Metro St-Laurent (de Maisonneuve / St-Laurent),45.51066,-73.56497,,
6208,Hutchison / des Pins,45.51069,-73.57805,,
6023,de la Commune / Berri,45.51086,-73.54983,,
6003,Clark / Evans,45.51113228,-73.56790714,,
7037,Prince-Arthur / Ste-Famille,45.51163821,-73.57463479,,
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51164009,-73.56218398,,
