West Island Center ,45.458424,-73.837923,45.411009,-73.960482
Dowtown center,45.486655,-73.581342,45.472389,-73.550679
villeray,45.527359,-73.652421,45.539241,-73.709846
east,45.62249,-73.551357,45.576578,-73.595109
